expire_at,lap,meta_event,meta_session,meta_source,meta_time,original_vehicle_id,outing,telemetry_name,telemetry_value,timestamp,vehicle_id,vehicle_number
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,speed,45.5,2025-11-22T10:00:00.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,aps,85,2025-11-22T10:00:00.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,pbrake_f,0,2025-11-22T10:00:00.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,pbrake_r,0,2025-11-22T10:00:00.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,Steering_Angle,5,2025-11-22T10:00:00.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,accx_can,0.5,2025-11-22T10:00:00.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,accy_can,0.8,2025-11-22T10:00:00.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,Laptrigger_lapdist_dls,0,2025-11-22T10:00:00.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,speed,52.3,2025-11-22T10:00:01.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,aps,95,2025-11-22T10:00:01.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,pbrake_f,0,2025-11-22T10:00:01.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,pbrake_r,0,2025-11-22T10:00:01.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,Steering_Angle,8,2025-11-22T10:00:01.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,accx_can,0.8,2025-11-22T10:00:01.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,accy_can,1.2,2025-11-22T10:00:01.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,Laptrigger_lapdist_dls,52,2025-11-22T10:00:01.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,speed,48.1,2025-11-22T10:00:02.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,aps,45,2025-11-22T10:00:02.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,pbrake_f,65,2025-11-22T10:00:02.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,pbrake_r,55,2025-11-22T10:00:02.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,Steering_Angle,25,2025-11-22T10:00:02.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,accx_can,1.8,2025-11-22T10:00:02.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,accy_can,-1.5,2025-11-22T10:00:02.000Z,TEST-001,1
,1,TEST_2025,R1,upload,2025-11-22T10:00:00Z,TEST-001,1,Laptrigger_lapdist_dls,100,2025-11-22T10:00:02.000Z,TEST-001,1
